repository_file,field_category,matched_text,context,line_estimate,source_status,canonical_field,authority,track_name,meeting_date,notes
data\weather-source-audit\live-turftrax\caulfield_raw.json,RAIL_CURRENT,rail position,", 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026 Turftrax Ltd. All Rights Reserved.""     },     ""content"": {       ""additional-comment"": ""Previous meeting: 27 Jun 2026 at +3 metre rail position. Last meeting with current rail position: 15 Nov 2025 "",       ""air-temperature-current"": 14.7,       ""air-temperature-max"": 15.81,       ""air-temperature-min"": 7.92,       ""awt-race-date"": ""N/a"",       ""awtReport"": 0,       ""carousel"": {         ""temperature"": {           ""default"": ""air"",",10,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\live-turftrax\caulfield_raw.json,IRRIGATION_GENERAL,irrigation,"reports/338784_zones.svg"",       ""goingReport"": 1,       ""haveManualRain"": false,       ""humidity-current"": 65.28,       ""humidity-max"": 89.09,       ""humidity-min"": 61.62,       ""irrigation-report"": ""Last 24hrs- Nil/ Last 7 Days- Nil"",       ""isDemo"": false,       ""isLastMeeting"": false,       ""location-date"": ""Saturday, 11th July, 2026"",       ""location-title"": ""Sportsbet Caulfield Winter Raceday"",       ""location-track-type"": ""N/a"",       ""location-venue"": ""Caulfield"",       ""mapNam",39,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\live-turftrax\caulfield_raw.json,GOING_STICK,Going Stick,"udy, 15 degrees maximum. High chance of showers, most likely later in the day. Light winds becoming northerly 15 to 25 km/h during the morning.\n            [stick_comments] =&gt; Going Stick- 8.4, Penetrate- 7.4, Shear- 10.3, Rainfall since last race day- 31mm\n            [status] =&gt; 1\n            [waypoint_map] =&gt; 338319_waypoints.svg\n            [zone_map] =&gt; 338319_zones.svg\n            [created_at] =&gt; 2026-07-06 22:43:47\n            [updated_at] =&gt; 2026-07-06 22",190,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\live-turftrax\caulfield_raw.json,UPDATED_TIME,updated_at,"Race Window 6\nTurf Report Query:\nSELECT id, map_id, make_date, official_going, additional_comments, weather_comments, stick_comments, status, waypoint_map, zone_map, created_at, updated_at, race_date, watering, rails, stalls, meeting_description\nFROM tthub.going_reports\nWHERE map_id  IN (143,241,681,684,864)\n\n AND race_date BETWEEN \""2026-06-27 00:00:00\"" AND \""2026-07-11 00:00:00\""\nORDER BY race_date DESC, updated_at DESC\n\n\nReturn: 0\nFiltering out AWT Reports\nreport Race D",190,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\live-turftrax\ladbrokes_raw.json,TRACK_CONDITION,going-report,"""disableMetic"": [],       ""et-24hr"": 0.95,       ""et-7day"": 2.95,       ""et-since"": 0.37,       ""etEnabled"": true,       ""going-race-date"": ""Wednesday, 15th July, 2026"",       ""going-report"": ""Soft 7 "",       ""going-report-date"": ""Friday, 10th July, 2026 at 7:29 am"",       ""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/338681_waypoints.svg"",       ""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/338681_zones.svg"",       ""goingReport"": 1,       ""ha",30,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\live-turftrax\ladbrokes_raw.json,IRRIGATION_GENERAL,irrigation,"reports/338681_zones.svg"",       ""goingReport"": 1,       ""haveManualRain"": false,       ""humidity-current"": 64.87,       ""humidity-max"": 83.45,       ""humidity-min"": 63.23,       ""irrigation-report"": ""24hrs: 0mm\r\n7 days: 0mm"",       ""isDemo"": false,       ""isLastMeeting"": false,       ""location-date"": ""Wednesday, 15th July, 2026"",       ""location-title"": ""Sportsbet Hillside 15/07/2026"",       ""location-track-type"": ""N/a"",       ""location-venue"": ""Sportsbet Sandown"",       ""mapName"":",39,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\live-turftrax\ladbrokes_raw.json,UPDATED_TIME,updated_at,"Race Window 6\nTurf Report Query:\nSELECT id, map_id, make_date, official_going, additional_comments, weather_comments, stick_comments, status, waypoint_map, zone_map, created_at, updated_at, race_date, watering, rails, stalls, meeting_description\nFROM tthub.going_reports\nWHERE map_id  IN (120,121,248,257,264)\n\n AND race_date BETWEEN \""2026-07-08 00:00:00\"" AND \""2026-07-15 00:00:00\""\nORDER BY race_date DESC, updated_at DESC\n\n\nReturn: 0\nFiltering out AWT Reports\nreport Race D",191,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\live-turftrax\mornington_raw.json,TRACK_CONDITION,going-report,"""disableMetic"": [],       ""et-24hr"": 0.58,       ""et-7day"": 2.89,       ""et-since"": 0.29,       ""etEnabled"": true,       ""going-race-date"": ""Monday, 8th June, 2026"",       ""going-report"": ""Heavy 8"",       ""going-report-date"": ""Monday, 15th June, 2026 at 12:36 pm"",       ""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_waypoints.svg"",       ""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_zones.svg"",       ""goingReport"": 1,       ""h",30,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\live-turftrax\mornington_raw.json,IRRIGATION_GENERAL,irrigation,"reports/335148_zones.svg"",       ""goingReport"": 1,       ""haveManualRain"": false,       ""humidity-current"": 72.19,       ""humidity-max"": 88.11,       ""humidity-min"": 65.82,       ""irrigation-report"": ""24Hrs: 0mm, 7 Days: 0mm"",       ""isDemo"": false,       ""isLastMeeting"": false,       ""location-date"": ""N/a"",       ""location-title"": ""Mornington Raceday "",       ""location-track-type"": ""N/a"",       ""location-venue"": ""Mornington"",       ""mapName"": ""Mornington"",       ""mapping-service"": ""ye",39,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\live-turftrax\mornington_raw.json,UPDATED_TIME,updated_at,"Race Window 6\nTurf Report Query:\nSELECT id, map_id, make_date, official_going, additional_comments, weather_comments, stick_comments, status, waypoint_map, zone_map, created_at, updated_at, race_date, watering, rails, stalls, meeting_description\nFROM tthub.going_reports\nWHERE map_id  IN (130,258,276,655)\n\n AND race_date BETWEEN \""2026-06-08 00:00:00\"" AND \""2027-01-11 23:59:59\""\nORDER BY race_date DESC, updated_at DESC\n\n\nReturn: 0\nFiltering out AWT Reports\nreport Race Date:",196,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\racing-australia-vic\track_conditions_page.html,TRACK_CONDITION,TrackRating,"Racing-Victoria-Banner.jpg' width='728' height='90' alt='Racing Victoria' border='0'/></a>    </div>  -->          </br>  	  <!-- ========================================Table for TrackRating ============================= -->      Please note that no further Track Condition Reports outside of the four Racing Victoria submission timeframes and deadlines outlined below are required to be submitted <span style=""text-decoration:underline"">unless</span> there is a change in Track Rating. If",699,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\racing-australia-vic\track_conditions_page.html,IRRIGATION_GENERAL,Irrigation,"rack<br>Type</th>              <th>Track<br>Condition</th>              <th>Penetrometer</th>              <th>Weather<br>Forecast</th>              <th>Rail</th>              <th>Irrigation</th>              <th>Rainfall</th>              <th>Comment</th>              <th>Additional<br>Information</th>            </tr>                <tr class='EvenRow'>             <td style=""text-align:center;"" align=""center""><a href=""/FreeFields/StageMeeting.aspx?key=2026Jul10,VIC,Ladbrokes Geelong",1081,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\racing-australia-vic\track_conditions_page.html,PENETROMETER,Penetrometer,"pacing=""0"" class=""race-fields"">            <tr>              <th>Meeting Details</th>              <th>Track<br>Type</th>              <th>Track<br>Condition</th>              <th>Penetrometer</th>              <th>Weather<br>Forecast</th>              <th>Rail</th>              <th>Irrigation</th>              <th>Rainfall</th>              <th>Comment</th>              <th>Additional<br>Information</th>            </tr>                <tr class='EvenRow'>             <td style=""text-al",1075,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\racing-australia-vic\track_conditions_page.html,GOING_STICK,Going Stick,"st 24 hours, 11.4mm last 7 days</td>             <td style=""text-align:center;"" align=""center"">Inspection 8AM 10/7; </td>             <td style=""text-align:center;"" align=""center"">Going Stick- 8.7, Penetrate- 8.4, Shear- 9.8, Rainfall since last race day- 31mm</td>        	</tr>               <tr class='EvenRow'>             <td style=""text-align:center;"" align=""center""><a href=""/FreeFields/StageMeeting.aspx?key=2026Jul11,VIC,Donald"">Sat 11-Jul Donald</td>             <td style=""text-al",1139,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\racing-australia-vic\track_conditions_page.html,TRACK_MANAGER_COMMENT,Track Manager,"decoration:underline"">unless</span> there is a change in Track Rating. If there is a change in Track Rating at any stage an additional report will be entered by the Victorian Club Track Managers.  <br/>  For further information please contact the relevant racing club.    </p>   	  	  	  <table class=""SNSTable""  width=""100%"" border=""1"">    <tbody>      <tr>        <th scope=""col"">Item</th>        <th scope=""col"">Inspection Timeframe</th>        <th scope=""col"">Inspection Deadline for Track",705,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\racing-australia-vic\track_conditions_page.html,UPDATED_TIME,Inspection Time,"contact the relevant racing club.    </p>   	  	  	  <table class=""SNSTable""  width=""100%"" border=""1"">    <tbody>      <tr>        <th scope=""col"">Item</th>        <th scope=""col"">Inspection Timeframe</th>        <th scope=""col"">Inspection Deadline for Track Rating to be Submitted</th>        <th scope=""col"">Non Submission Follow Up</th>      </tr>      <tr>        <th scope=""row"">1</th>        <td>Day of nominations close</td>        <td>Prior to nominations closing by 10am</td>        <td",727,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\racing-australia-vic\track_conditions_page.html,MEETING_STATUS,Abandoned,"<li><a href=""/FreeFields/Calendar_Scratchings.aspx?State=NT"">Northern Territory</a></li>              </ul></li>          <li>              <div><a href=""/FreeServices/AbandonedAndTransferredMeetings.aspx"">ABANDONED & TRF MEETINGS</a></div>          </li>          <li><div><a href=""#"">RACE RESULTS</a></div>              <ul>  				<li><a href=""/FreeFields/Calendar_Results.aspx?State=NSW"">New South Wales</a></li>  				<li><a href=""/FreeFields/Calendar_Results.aspx?State=VIC""",967,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\004_common.js,TRACK_CONDITION,going-report,"subDomain: null,         useProtocol: null,         useHost: null,         errorTimeout: 5,         errorTimer: null,         errorCountdown: null,         wdvSections: ['going-report-wdv', 'awt-report-wdv', 'weather-report-wdv','wdv-explained'],                  License: {             inFrame: false,             haveTTEMA: false,             haveTTSVC: false,             Init: function() {                 var that = window.its.visualiser.common.License;                 if (wind",59,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\005_base.js,TRACK_CONDITION,going-report,"at a JS Error message will be displayed     var moistureTakenAt = null;     var manualRain = null;     var compressable = new Array(             'additional-comment',             'going-report',             'rail-report',             'stick-report',             'weather-comment',             'irrigation-report',             'stalls-report',             'awt-going-report',             'awt-stalls-report',             'awt-additional-comment'         );     var compressText = {",373,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\005_base.js,IRRIGATION_GENERAL,irrigation,"sable = new Array(             'additional-comment',             'going-report',             'rail-report',             'stick-report',             'weather-comment',             'irrigation-report',             'stalls-report',             'awt-going-report',             'awt-stalls-report',             'awt-additional-comment'         );     var compressText = {             ""primary"": {                 ""fontSize"": ""1.2rem"",                 ""lineHeight"": ""1.4rem""             },",377,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\005_base.js,RAINFALL_24H,rain-24h,"window._viewButton('rg', listArray[nextIndex]);                 }                 _getOtherSensor('rain-since', 'rain' + useOrdinal + '-today');                 _getOtherSensor('rain-24hr', 'rain' + useOrdinal + '-24hr');                 _getOtherSensor('rain-7day', 'rain' + useOrdinal + '-7day');                 break;         }         return true;     }     /**      * Private Method: Will write into a HTML Element an alternate Reading      *       * @usedby <i><b>method</b> Swap",1435,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\005_base.js,RAINFALL_7D,rain-7day,"_getOtherSensor('rain-since', 'rain' + useOrdinal + '-today');                 _getOtherSensor('rain-24hr', 'rain' + useOrdinal + '-24hr');                 _getOtherSensor('rain-7day', 'rain' + useOrdinal + '-7day');                 break;         }         return true;     }     /**      * Private Method: Will write into a HTML Element an alternate Reading      *       * @usedby <i><b>method</b> SwapView()</i>      *       * @param {string} readingId DOM ID of Target HTML Elem",1436,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\005_base.js,UPDATED_TIME,updateTime,var streamHost = null;     var viewCountdown = document.getElementsByClassName('view-countdown')[0];     var updateCountdown = document.getElementById('update-countdown');     var updateTimer = null;                                                     // Holder for WDV Update Timeout Event     var viewStatus = document.getElementsByClassName('refresh-status')[0];     var updateStatus = document.getElementById('update-status');     var retryUpdate = 10;,356,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\audit.json,TRACK_CONDITION,Going Report,"=\""api-mini-cms-mapname\""></span></div>                     </div>                     <div class=\""api-mini-cms-line\"">                         <div class=\""api-mini-cms-prompt\"">Going Report:</div>                         <""         },         {           ""keyword"": ""api"",           ""position"": 24272,           ""context"": ""mini-cms-prompt\"">Going Map:</div>                         <div class=\""api-mini-cms-content\""><span id=\""api-mini-cms-map\""></span></div>                     </div>",224,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\audit.json,IRRIGATION_GENERAL,irrigation,"<div class=\""metric-source\"">Source: Latest Going Report</div>                         </div>                     </div>                     <div class=\""metric-display\"" id=\""irrigation-metric\"">                         <div class=\""metric-title\"">Irri""         },         {           ""keyword"": ""weather"",           ""position"": 9681,           ""context"": ""                  </div>                             <div id=\""additional-comment\"" class=\""metric-comment\""></div>",504,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\audit.json,RAINFALL_24H,rain-24h,"<div class=\""metric-reading-line\"">                                     <div class=\""metric-reading-prompt\"">24 Hrs:</div> \t\t\t\t\t\t\t\t\t<div id=\""rain-24hr\"" class=\""metric-reading-content\""></div>              ""         },         {           ""keyword"": ""rain"",           ""position"": 11138,           ""context"": ""e 6:00 am:</div>                                     <div id=\""rain-since\"" class=\""metric-reading-content\""></div>",664,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\audit.json,RAINFALL_7D,rain-7day,"<div class=\""metric-reading-line\"">                                     <div class=\""metric-reading-prompt\"">7 Days:</div> \t\t\t\t\t\t\t\t\t<div id=\""rain-7day\"" class=\""metric-reading-content\""></div>               ""         },         {           ""keyword"": ""rain"",           ""position"": 11395,           ""context"": "" class=\""metric-reading-prompt\"">24 Hrs:</div> \t\t\t\t\t\t\t\t\t<div id=\""rain-24hr\"" class=\""metric-reading-content\""></div>",669,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\audit.json,GOING_STICK,going-stick,"""document_url"": ""https://its.turftrax.co.uk/visualiser/caulfield/"",       ""kind"": ""html"",       ""likely_urls"": [         ""/api-response-00.svg"",         ""/going-00.svg"",         ""/going-stick-00.svg"",         ""/visualiser/stream/"",         ""/weather-00.svg""       ],       ""keyword_hits"": [         {           ""keyword"": ""api"",           ""position"": 1337,           ""context"": ""../assets/css/base.css\"">         <link type=\""text/css\"" rel=\""stylesheet\"" href=\""livery.css\"">         <scrip",51,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax\caulfield\audit.json,UPDATED_TIME,updateTime,"var streamHost = null;     var viewCountdown = document.getElementsByClassName('view-countdown')[0];     var updateCountdown = document.getElementById('update-countdown');     var updateTimer = null;                                 ""         },         {           ""keyword"": ""api"",           ""position"": 17937,           ""context"": ""                                   // Holder for WDV Update Timeout Event     var viewStatus = document.getElementsByClassName('refresh-status')[0];     var",2371,DISCOVERED_UNVERIFIED,,,,,
