slot_id,current_race_date,current_meeting,current_race_number,runner_name,form_run_date,form_track,form_track_key,form_race_number,form_distance,form_position,form_margin,final_classification,governed_reason,evidence,canonical_performance_id,canonical_race_id,warehouse_track,warehouse_race_number,warehouse_distance,epi_value
race002_runner01_run05,2026-09-14,Hamilton,2,Power Of Hindsight,2025-11-28,PAKENHAM,PAKM,2,,7,,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_DISTANCE_MISSING_NOT_CERTIFIED_EPI,blank_distance_missing|horse_name_exact_candidate|date_exact|canonical_track_exact|form_distance_missing_recovered_from_unique_race|race_number_exact|finish_position_exact,EIQ_PERFORMANCE_520B9A9FEED615FC,EIQ_RACE_6262D99ECD65B83F,SOUTHSIDE PAKENHAM,2.0,1600,
race002_runner01_run06,2026-09-14,Hamilton,2,Power Of Hindsight,2025-11-28,SOUTHSIDE PAKENHAM,PAKM,2,1600,7,8.0,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_520B9A9FEED615FC,EIQ_RACE_6262D99ECD65B83F,SOUTHSIDE PAKENHAM,2.0,1600,
race002_runner01_run07,2026-09-14,Hamilton,2,Power Of Hindsight,2025-10-28,BET365 SWAN HILL,BET365SWANHILL,4,1600,8,9.37,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_DE4ECA9446436AA5,EIQ_RACE_A38C2AF2E14603A6,BET365 SWAN HILL,4.0,1600,
race002_runner01_run08,2026-09-14,Hamilton,2,Power Of Hindsight,2025-09-09,WARRNAMBOOL,WNBL,2,1700,8,10.96,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_0E3D24F1D5693C76,EIQ_RACE_29BA258BCFE4C5A4,WARRNAMBOOL,2.0,1700,34.2250
race002_runner03_run01,2026-09-14,Hamilton,2,Set Boom,2026-03-29,AVOCA,AVOCA,1,1100,10,11.65,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_EC647460075FCAF6,EIQ_RACE_164C43AB7DBE5745,AVOCA,1.0,1100,
race002_runner03_run02,2026-09-14,Hamilton,2,Set Boom,2026-03-29,AVOCA,AVOCA,8,1100,10,11.65,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_EC647460075FCAF6,EIQ_RACE_164C43AB7DBE5745,AVOCA,1.0,1100,
race002_runner03_run03,2026-09-14,Hamilton,2,Set Boom,2026-03-02,BET365 COLAC,CLAC,5,800,,0.0,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_margin_exact,EIQ_PERFORMANCE_89E4238B81356087,EIQ_RACE_FD328D669F8A9FCD,BET365 COLAC,5.0,800,
race002_runner04_run01,2026-09-14,Hamilton,2,Smart And Mighty,2026-04-11,PICKLEBET PARK WERRIBEE,WERR,1,1000,12,14.37,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_D13C9DAD907F77B8,EIQ_RACE_208ABFE616D54787,PICKLEBET PARK WERRIBEE,1.0,1000,
race002_runner04_run02,2026-09-14,Hamilton,2,Smart And Mighty,2026-04-11,PICKLEBET PARK WERRIBEE,WERR,8,1000,12,14.37,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_D13C9DAD907F77B8,EIQ_RACE_208ABFE616D54787,PICKLEBET PARK WERRIBEE,1.0,1000,
race002_runner04_run03,2026-09-14,Hamilton,2,Smart And Mighty,2026-03-09,WARRNAMBOOL,WNBL,1,1000,6,7.6,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_7400F6F7ED18CBB9,EIQ_RACE_7B75E733D93E510E,WARRNAMBOOL,1.0,1000,38.9500
race002_runner04_run04,2026-09-14,Hamilton,2,Smart And Mighty,2026-01-19,ALBURY,ALBURY,4,1000,3,4.56,OUTSIDE_WAREHOUSE_SOURCE_COVERAGE,FORM_TRACK_NOT_PRESENT_IN_CERTIFIED_WAREHOUSE_TRACK_UNIVERSE,,,,,,,
race002_runner04_run05,2026-09-14,Hamilton,2,Smart And Mighty,2026-01-01,HANGING ROCK,HANGINGROCK,2,1000,6,3.61,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_036EC4FAF97BF372,EIQ_RACE_AC20F2A37984AD0F,HANGING ROCK,2.0,1000,
race002_runner04_run06,2026-09-14,Hamilton,2,Smart And Mighty,2025-12-19,BET365 YARRA VALLEY,BET365YARRAVALLEY,4,1009,2,3.75,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_2F8782683ADE58CD,EIQ_RACE_9E72D5F6230C3E27,BET365 YARRA VALLEY,4.0,1009,
race002_runner04_run07,2026-09-14,Hamilton,2,Smart And Mighty,2025-12-14,TATURA,TAT,1,1100,4,0.45,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_D0F949327C991B45,EIQ_RACE_D48A3D70D8BB50FB,TATURA,1.0,1100,
race002_runner04_run08,2026-09-14,Hamilton,2,Smart And Mighty,2025-12-14,TATURA,TAT,8,1100,4,0.45,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_D0F949327C991B45,EIQ_RACE_D48A3D70D8BB50FB,TATURA,1.0,1100,
race002_runner05_run01,2026-09-14,Hamilton,2,Weasel Sea,2026-04-24,SOUTHSIDE CRANBOURNE,CRAN,4,1000,3,2.6,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_0553C962F92C4081,EIQ_RACE_F3B34DEEA0D3E50F,SOUTHSIDE CRANBOURNE,4.0,1000,41.5500
race002_runner05_run02,2026-09-14,Hamilton,2,Weasel Sea,2026-04-13,BET365 SEYMOUR,SEYM,1,1000,3,2.25,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_CD23387717A62773,EIQ_RACE_CA59ADB132677A21,BET365 SEYMOUR,1.0,1000,40.7500
race002_runner05_run03,2026-09-14,Hamilton,2,Weasel Sea,2026-03-15,BET365 YARRA VALLEY,BET365YARRAVALLEY,2,1000,2,0.4,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_865B43BDFCEB1D63,EIQ_RACE_C04EEF8F3F81F2B3,BET365 YARRA VALLEY,2.0,1000,
race002_runner05_run04,2026-09-14,Hamilton,2,Weasel Sea,2026-03-03,ARARAT,ARAT,2,1100,3,1.02,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_3C0CD60ACC21A173,EIQ_RACE_6D25A5C28B2C9A35,ARARAT,2.0,1100,19.2000
race002_runner06_run01,2026-09-14,Hamilton,2,Cool Aza Breeze,2025-07-25,LADBROKES GEELONG,GEEL,2,1150,8,6.96,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_552D6F2A3F11E8E8,EIQ_RACE_7D242D6248520D20,LADBROKES GEELONG,2.0,1150,
race002_runner08_run01,2026-09-14,Hamilton,2,Shortcake,2025-09-23,BET365 COLAC,CLAC,9,1000,9,9.05,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_097FF77931C6AB4E,EIQ_RACE_818A137D8A843ECF,BET365 COLAC,9.0,1000,
race002_runner09_run01,2026-09-14,Hamilton,2,Studio Artist,2026-03-31,BET365 PARK KILMORE,BET365PARKKILMORE,3,1457,10,15.58,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_695888A08EBE7DFF,EIQ_RACE_ACEF5182847212C3,BET365 PARK KILMORE,3.0,1457,
race002_runner09_run02,2026-09-14,Hamilton,2,Studio Artist,2026-02-16,WAGGA,WAGGA,3,1000,10,17.57,OUTSIDE_WAREHOUSE_SOURCE_COVERAGE,FORM_TRACK_NOT_PRESENT_IN_CERTIFIED_WAREHOUSE_TRACK_UNIVERSE,,,,,,,
race002_runner09_run03,2026-09-14,Hamilton,2,Studio Artist,2025-09-02,BET365 BENALLA,BET365BENALLA,1,1212,6,16.25,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_90A143B0CB0F4E36,EIQ_RACE_372CBE3EDE2FA4F4,BET365 BENALLA,1.0,1212,
race002_runner11_run01,2026-09-14,Hamilton,2,Tikiela,2026-05-10,SPORTSBET BALLARAT,BRAT,4,,9,10.56,CERTIFIED_EPI_DETERMINISTIC_REPRESENTATION_MATCH,FORM_DISTANCE_MISSING_UNIQUE_RACE,FORM_DISTANCE_MISSING_UNIQUE_RACE|horse_name_exact_candidate|date_exact|canonical_track_exact|form_distance_missing_recovered_from_unique_race|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_9C9E1E37533E3BB4,EIQ_RACE_EF140A5B2BCC9976,SPORTSBET-BALLARAT,4.0,1000,79.6000
race002_runner11_run02,2026-09-14,Hamilton,2,Tikiela,2026-05-10,SPORTSBET-BALLARAT,BRAT,4,1000,9,10.56,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_9C9E1E37533E3BB4,EIQ_RACE_EF140A5B2BCC9976,SPORTSBET-BALLARAT,4.0,1000,79.6000
race002_runner11_run03,2026-09-14,Hamilton,2,Tikiela,2026-04-27,HORSHAM,HSHM,1,1100,10,12.2,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_A06F1857ADCEDB18,EIQ_RACE_68754A508A192AB2,HORSHAM,1.0,1100,
race002_runner11_run04,2026-09-14,Hamilton,2,Tikiela,2025-11-20,SPORTSBET BALLARAT,BRAT,3,,8,,CERTIFIED_EPI_DETERMINISTIC_REPRESENTATION_MATCH,FORM_DISTANCE_MISSING_UNIQUE_RACE,FORM_DISTANCE_MISSING_UNIQUE_RACE|horse_name_exact_candidate|date_exact|canonical_track_exact|form_distance_missing_recovered_from_unique_race|race_number_exact|finish_position_exact,EIQ_PERFORMANCE_41072AB45BF6E662,EIQ_RACE_736CA10AA00B7292,SPORTSBET-BALLARAT,3.0,1200,23.1500
race002_runner11_run05,2026-09-14,Hamilton,2,Tikiela,2025-11-20,SPORTSBET-BALLARAT,BRAT,3,1200,8,12.66,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_41072AB45BF6E662,EIQ_RACE_736CA10AA00B7292,SPORTSBET-BALLARAT,3.0,1200,23.1500
race002_runner11_run06,2026-09-14,Hamilton,2,Tikiela,2025-10-30,WARRNAMBOOL,WNBL,5,1200,12,11.88,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_82FBC4CA6544829F,EIQ_RACE_F5EF8337AB721D82,WARRNAMBOOL,5.0,1200,32.3750
race002_runner13_run01,2026-09-14,Hamilton,2,Stomping Ground,2026-02-25,SPORTSBET SANDOWN HILLSIDE,SANH,1,1300,6,12.76,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_3B875E0F5CA08C80,EIQ_RACE_80DC195429365547,SPORTSBET SANDOWN HILLSIDE,1.0,1300,0.7250
race002_runner13_run02,2026-09-14,Hamilton,2,Stomping Ground,2026-02-05,PAKENHAM,PAKM,1,,5,,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_DISTANCE_MISSING_NOT_CERTIFIED_EPI,blank_distance_missing|horse_name_exact_candidate|date_exact|canonical_track_exact|form_distance_missing_recovered_from_unique_race|race_number_exact|finish_position_exact,EIQ_PERFORMANCE_890A4377F9FE1B90,EIQ_RACE_F3F5ADA1133E4B1A,SOUTHSIDE PAKENHAM,1.0,1200,
race002_runner13_run03,2026-09-14,Hamilton,2,Stomping Ground,2026-02-05,SOUTHSIDE PAKENHAM,PAKM,1,1200,5,12.25,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_890A4377F9FE1B90,EIQ_RACE_F3F5ADA1133E4B1A,SOUTHSIDE PAKENHAM,1.0,1200,
race002_runner13_run04,2026-09-14,Hamilton,2,Stomping Ground,2025-10-02,CAULFIELD HEATH,CAUH,2,800,3,3.02,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_1437CA0ED8F23AD7,EIQ_RACE_74F58F0A315286AA,CAULFIELD HEATH,2.0,800,
race003_runner02_run01,2026-09-14,Hamilton,3,Gottacookacurry,2026-06-24,SPORTSBET-BALLARAT,BRAT,2,1200,,0.0,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_margin_exact,EIQ_PERFORMANCE_6A28E87ECE9D64C8,EIQ_RACE_25592BEFF1FC41B1,SPORTSBET-BALLARAT,2.0,1200,
race003_runner02_run02,2026-09-14,Hamilton,3,Gottacookacurry,2026-06-18,MOE,MOE,2,1208,7,7.7,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_22E22699DE49D168,EIQ_RACE_06916DF864248E52,MOE,2.0,1208,
race003_runner02_run03,2026-09-14,Hamilton,3,Gottacookacurry,2026-01-31,BET365 PARK KYNETON,KYNE,4,1856,13,58.02,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_EA81A2B7D7B29DAF,EIQ_RACE_9B79D4220082DAD2,BET365 PARK KYNETON,4.0,1856,0.0000
race003_runner02_run04,2026-09-14,Hamilton,3,Gottacookacurry,2025-12-20,BET365 COLAC,CLAC,3,2000,8,28.05,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_DD00D7199DA9368D,EIQ_RACE_905C7E6DB379B95C,BET365 COLAC,3.0,2000,0.5750
race003_runner02_run05,2026-09-14,Hamilton,3,Gottacookacurry,2025-12-13,BET365 STAWELL,BET365STAWELL,2,1600,8,6.51,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_3B874050FE983099,EIQ_RACE_C6FE5485E31F0AFA,BET365 STAWELL,2.0,1600,14.1500
race003_runner02_run06,2026-09-14,Hamilton,3,Gottacookacurry,2025-11-13,BET365 SEYMOUR,SEYM,2,1411,6,5.15,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_D63EB65161ADBC54,EIQ_RACE_A07CC307D01C0773,BET365 SEYMOUR,2.0,1411,
race003_runner02_run07,2026-09-14,Hamilton,3,Gottacookacurry,2025-10-28,BET365 SWAN HILL,BET365SWANHILL,2,1200,5,5.92,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_1DE0394853E05AD6,EIQ_RACE_55E84ADD75B91BE4,BET365 SWAN HILL,2.0,1200,
race003_runner03_run01,2026-09-14,Hamilton,3,Millsy's Award,2026-02-08,ARARAT,ARAT,2,1300,11,16.52,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_4EE95673F7FFD1D2,EIQ_RACE_6D4D4883AF16901D,ARARAT,2.0,1300,30.9000
race003_runner03_run02,2026-09-14,Hamilton,3,Millsy's Award,2026-01-13,BENDIGO,BDGO,2,1300,3,1.5,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_0F5FFFFF357E601D,EIQ_RACE_A680877AB71C80EE,BENDIGO,2.0,1300,
